source,num_images,accuracy,average_precision,roc_auc,real_recall,fake_recall,real_precision,fake_precision,real_f1,fake_f1,confusion_matrix,real_support,fake_support
biggan,4000,0.85675,0.9270081164081743,0.9406003749999999,0.7445,0.969,0.9600257898130239,0.7913434054716211,0.8386370036609406,0.8712070128118679,"[[1489, 511], [62, 1938]]",2000,2000
crn,12764,0.5000783453462865,0.5327845798291541,0.5613383295289233,0.00015669069257286117,1.0,1.0,0.5000391757423803,0.00031333228889237035,0.6667014886393314,"[[1, 6381], [0, 6382]]",6382,6382
cyclegan,2642,0.9061317183951552,0.9779944007221376,0.9811101859497858,0.9553368660105981,0.8569265707797123,0.8697450034458993,0.9504617968094039,0.9105339105339105,0.9012738853503185,"[[1262, 59], [189, 1132]]",1321,1321
deepfake,5405,0.8020351526364478,0.9465297553205464,0.9335454329617391,0.9892870336165497,0.6141586360266864,0.7200860446356547,0.9827995255041518,0.83348895113601,0.7559306569343066,"[[2678, 29], [1041, 1657]]",2707,2698
gaugan,10000,0.7737,0.7791621794886884,0.8378024800000001,0.6296,0.9178,0.8845181230682776,0.7124670082285359,0.7355999532655684,0.8022026046674242,"[[3148, 1852], [411, 4589]]",5000,5000
imle,12764,0.5000783453462865,0.5320276273834884,0.559915211233883,0.00015669069257286117,1.0,1.0,0.5000391757423803,0.00031333228889237035,0.6667014886393314,"[[1, 6381], [0, 6382]]",6382,6382
progan,8000,0.997375,0.9999986271190148,0.9999986249999999,1.0,0.99475,0.9947774185525988,1.0,0.9973818725844658,0.9973680912395037,"[[4000, 0], [21, 3979]]",4000,4000
san,438,0.6438356164383562,0.6710962557970596,0.7177915389587373,0.4429223744292237,0.8447488584474886,0.7404580152671756,0.6026058631921825,0.5542857142857143,0.7034220532319392,"[[97, 122], [34, 185]]",219,219
seeingdark,360,0.5055555555555555,0.6039856152579747,0.6680246913580248,0.016666666666666666,0.9944444444444445,0.75,0.5028089887640449,0.03260869565217391,0.667910447761194,"[[3, 177], [1, 179]]",180,180
stargan,3998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[1999, 0], [0, 1999]]",1999,1999
stylegan,11982,0.9684526790185278,0.9990645801652747,0.9988458038975228,1.0,0.9369053580370555,0.940650023551578,1.0,0.9694174757281553,0.967425025853154,"[[5991, 0], [378, 5613]]",5991,5991
stylegan2,15976,0.9832248372558838,0.9999785241645841,0.9999782786347774,1.0,0.9664496745117677,0.9675387596899225,1.0,0.9835016005909875,0.9829386299974535,"[[7988, 0], [268, 7720]]",7988,7988
whichfaceisreal,2000,0.6275,0.8162760839093014,0.868646,0.259,0.996,0.9847908745247148,0.5734024179620034,0.4101346001583531,0.7278041651443186,"[[259, 741], [4, 996]]",1000,1000
